 
SET: rps=0.0 (overall: 0.0) avg_msec=-nan (overall: -nan)
                                                          
SET: rps=1564.0 (overall: 1448.1) avg_msec=77.750 (overall: 77.750)
                                                                    
SET: rps=685.3 (overall: 1080.6) avg_msec=374.826 (overall: 168.509)
                                                                     
SET: rps=454.2 (overall: 876.9) avg_msec=624.381 (overall: 245.273)
                                                                    
SET: rps=418.3 (overall: 764.4) avg_msec=871.363 (overall: 329.339)
                                                                    
SET: rps=380.0 (overall: 688.9) avg_msec=1121.248 (overall: 415.121)
                                                                     
SET: rps=278.9 (overall: 621.4) avg_msec=1370.112 (overall: 485.712)
                                                                     
SET: rps=306.8 (overall: 576.9) avg_msec=1630.560 (overall: 571.799)
                                                                     
SET: rps=280.0 (overall: 540.2) avg_msec=1871.784 (overall: 654.979)
                                                                     
SET: rps=231.1 (overall: 506.2) avg_msec=2124.800 (overall: 728.981)
                                                                     
SET: rps=286.9 (overall: 484.4) avg_msec=2308.494 (overall: 821.893)
                                                                     
SET: rps=294.8 (overall: 467.2) avg_msec=2574.668 (overall: 921.820)
                                                                     
SET: rps=227.1 (overall: 447.3) avg_msec=2744.841 (overall: 998.508)
                                                                     
SET: rps=223.1 (overall: 430.2) avg_msec=2913.097 (overall: 1074.495)
                                                                      
SET: rps=175.3 (overall: 412.1) avg_msec=2999.203 (overall: 1132.699)
                                                                      
SET: rps=222.2 (overall: 399.4) avg_msec=2999.296 (overall: 1201.878)
                                                                      
SET: rps=220.0 (overall: 388.3) avg_msec=2999.296 (overall: 1265.006)
                                                                      
SET: rps=195.2 (overall: 377.0) avg_msec=2999.296 (overall: 1317.625)
                                                                      
SET: rps=196.0 (overall: 367.0) avg_msec=2999.296 (overall: 1367.145)
                                                                      
SET: rps=191.2 (overall: 357.8) avg_msec=2999.296 (overall: 1412.907)
                                                                      
SET: rps=191.2 (overall: 349.5) avg_msec=2999.296 (overall: 1456.172)
                                                                      
SET: rps=192.0 (overall: 342.0) avg_msec=2999.296 (overall: 1497.140)
                                                                      
SET: rps=179.3 (overall: 334.7) avg_msec=2999.296 (overall: 1533.619)
                                                                      
SET: rps=159.4 (overall: 327.1) avg_msec=2999.296 (overall: 1564.590)
                                                                      
SET: rps=170.6 (overall: 320.5) avg_msec=2999.296 (overall: 1596.456)
                                                                      
SET: rps=131.5 (overall: 313.0) avg_msec=2999.296 (overall: 1619.967)
                                                                      
SET: rps=139.4 (overall: 306.3) avg_msec=2999.296 (overall: 1644.057)
                                                                      
SET: rps=132.0 (overall: 299.9) avg_msec=2999.296 (overall: 1666.012)
                                                                      
SET: rps=147.4 (overall: 294.5) avg_msec=2999.296 (overall: 1689.798)
                                                                      
SET: rps=139.4 (overall: 289.1) avg_msec=2999.296 (overall: 1711.530)
                                                                      
SET: rps=120.0 (overall: 283.5) avg_msec=2999.296 (overall: 1729.591)
                                                                      
SET: rps=143.4 (overall: 279.0) avg_msec=2999.296 (overall: 1750.607)
                                                                      
SET: rps=143.4 (overall: 274.8) avg_msec=2999.296 (overall: 1770.938)
                                                                      
SET: rps=144.0 (overall: 270.9) avg_msec=2999.296 (overall: 1790.618)
                                                                      
SET: rps=151.4 (overall: 267.3) avg_msec=2999.296 (overall: 1810.719)
                                                                      
SET: rps=135.5 (overall: 263.6) avg_msec=2999.296 (overall: 1828.145)
                                                                      
SET: rps=128.0 (overall: 259.8) avg_msec=2999.296 (overall: 1844.086)
                                                                      
SET: rps=135.5 (overall: 256.5) avg_msec=2999.296 (overall: 1860.554)
                                                                      
SET: rps=146.8 (overall: 253.6) avg_msec=2999.296 (overall: 1877.951)
                                                                      
SET: rps=136.0 (overall: 250.6) avg_msec=2999.296 (overall: 1893.474)
                                                                      
SET: rps=150.8 (overall: 248.1) avg_msec=2999.296 (overall: 1910.323)
                                                                      
SET: rps=148.0 (overall: 245.7) avg_msec=2999.296 (overall: 1926.242)
                                                                      
SET: rps=127.5 (overall: 242.8) avg_msec=2999.296 (overall: 1939.640)
                                                                      
SET: rps=127.5 (overall: 240.2) avg_msec=2999.296 (overall: 1952.707)
                                                                      
SET: rps=127.5 (overall: 237.6) avg_msec=2999.296 (overall: 1965.456)
                                                                      
SET: rps=127.5 (overall: 235.2) avg_msec=2999.296 (overall: 1977.897)
                                                                      
SET: rps=131.5 (overall: 232.9) avg_msec=2999.296 (overall: 1990.418)
                                                                      
SET: rps=115.5 (overall: 230.4) avg_msec=2999.296 (overall: 2001.171)
                                                                      
SET: rps=123.5 (overall: 228.2) avg_msec=2999.296 (overall: 2012.414)
                                                                      
SET: rps=111.6 (overall: 225.8) avg_msec=2999.296 (overall: 2022.354)
                                                                      
SET: rps=99.6 (overall: 223.3) avg_msec=2999.296 (overall: 2031.061)
                                                                     
SET: rps=83.7 (overall: 220.6) avg_msec=2999.296 (overall: 2038.256)
